CustomerID,Name,Email,Age,Gender,Location,PurchaseHistory,BrowsingBehavior,AmountSpent,MembershipTier
100009,Shawn Garcia,excvaxp@zduur.com,26,Female,Houston,Laptop,Electronics,3655.07,Bronze
100017,Rowan Johnson,imtniuu@dooku.com,32,Female,Berlin,Hair Dryer,Beauty & Health,4355.32,Bronze
100023,Toni Smith,otysxfh@zabgw.com,66,Female,London,Smartwatch,Electronics,4641.24,Silver
100014,Toni Jones,nspeuzs@vxips.com,75,Male,Los Angeles,Laptop,Electronics,2700.54,Bronze
100045,Reese Davis,stkyqtd@yygjv.com,71,Female,Los Angeles,Perfume,Beauty & Health,4717.14,Gold
100026,Jordan Johnson,fshekwz@bnkfl.com,62,,Toronto,Children's Book,Books,1507.64,Gold
100006,Peyton Johnson,xbyxiwj@cgonu.com,36,Female,Sydney,Yoga Mat,Sports,1070.05,Silver
100005,Dani Davis,whcnhyq@wjcfo.com,74,Male,New York,Shoes,Fashion,3614.4,Platinum
100036,Avery Miller,fkwdonm@alpsz.com,61,Male,Chicago,Dumbbells,Sports,209.11,Platinum
100040,River Miller,uewpbfu@vkyke.com,23,Female,Sydney,Non-Fiction,Books,3577.16,Silver
100031,Reese Miller,wnniqsj@wwpfm.com,33,Male,Berlin,Handbag,Fashion,4595.49,Bronze
100015,Casey Martinez,fzszqzx@jyyeo.com,47,Non-binary,New York,Headphones,Electronics,2405.42,Silver
100006,Peyton Johnson,xbyxiwj@cgonu.com,36,Female,Sydney,Skincare Set,Beauty & Health,4617.7,Silver
100028,Phoenix Garcia,bshjkjb@bsghl.com,19,Male,Phoenix,Fitness Tracker,Sports,1499.33,Silver
100038,Bailey Martinez,llubjjn@iwrbd.com,63,Non-binary,New York,Tablet,Electronics,4098.88,Bronze
100004,Reese Hernandez,mmrkwea@prbmg.com,40,Female,Sydney,Toothbrush,Beauty & Health,1128.8,Bronze
100028,Phoenix Garcia,bshjkjb@bsghl.com,19,Male,Phoenix,Camera,Electronics,2090.81,Silver
100038,Bailey Martinez,llubjjn@iwrbd.com,63,Non-binary,New York,Chair,Home & Garden,173.29,Bronze
100006,Peyton Johnson,xbyxiwj@cgonu.com,36,Female,Sydney,Sofa,Home & Garden,4817.3,Silver
100024,Kris Martinez,birmcum@nuwmy.com,64,Non-binary,Houston,Laptop,Electronics,1206.95,Platinum
100009,Shawn Garcia,excvaxp@zduur.com,26,Female,Houston,Yoga Mat,Sports,643.18,Bronze
100010,Drew Jones,zriftbd@rrcra.com,58,Male,Sydney,Children's Book,Books,4382.29,Silver
100015,Casey Martinez,fzszqzx@jyyeo.com,47,Non-binary,New York,Yoga Mat,Sports,443.28,Silver
100046,Casey Miller,kxbezgn@tpcnv.com,53,Non-binary,Toronto,Sofa,Home & Garden,4471.6,Silver
100005,Dani Davis,whcnhyq@wjcfo.com,74,Male,New York,Curtains,Home & Garden,3353.78,Platinum
100026,Jordan Johnson,fshekwz@bnkfl.com,62,,Toronto,Running Shoes,Sports,950.51,Gold
100005,Dani Davis,whcnhyq@wjcfo.com,74,Male,New York,Gym Bag,Sports,4795.09,Platinum
100030,Cory Williams,lzboqoe@xfpfw.com,46,Non-binary,Los Angeles,Coffee Table,Home & Garden,3703.75,Platinum
100028,Phoenix Garcia,bshjkjb@bsghl.com,19,Male,Phoenix,Fitness Tracker,Sports,4270.18,Silver
100015,Casey Martinez,fzszqzx@jyyeo.com,47,Non-binary,New York,Jacket,Fashion,2949.22,Silver
100045,Reese Davis,stkyqtd@yygjv.com,71,Female,Los Angeles,Science,Books,60.87,Gold
100024,Kris Martinez,birmcum@nuwmy.com,64,Non-binary,Houston,Dumbbells,Sports,2662.34,Platinum
100010,Drew Jones,zriftbd@rrcra.com,58,Male,Sydney,Gym Bag,Sports,367.62,Silver
100035,Dani Brown,zglvvgq@vzrii.com,18,Non-binary,Phoenix,T-shirt,Fashion,4111.63,Platinum
